month_of,day,item,item_url
Fruit,1,Plums,https://en.wikipedia.org/wiki/Plums
Fruit,2,Millet,https://en.wikipedia.org/wiki/Millet
Fruit,3,Puffballs,https://en.wikipedia.org/wiki/Puffballs
Fruit,4,Six-row Barley,https://en.wikipedia.org/wiki/Barley
Fruit,5,Salmon,https://en.wikipedia.org/wiki/Salmon
Fruit,6,Tuberose,https://en.wikipedia.org/wiki/Tuberose
Fruit,7,Winter Barley,https://en.wikipedia.org/wiki/Barley
Fruit,8,Apocynum,https://en.wikipedia.org/wiki/Apocynaceae
Fruit,9,Liquorice,https://en.wikipedia.org/wiki/Liquorice
Fruit,10,the Ladder,https://en.wikipedia.org/wiki/Ladder
Fruit,11,Watermelon,https://en.wikipedia.org/wiki/Watermelon
Fruit,12,Fennel,https://en.wikipedia.org/wiki/Fennel
Fruit,13,European Barberry,https://en.wikipedia.org/wiki/Berberis_vulgaris
Fruit,14,Walnuts,https://en.wikipedia.org/wiki/Walnuts
Fruit,15,Trout,https://en.wikipedia.org/wiki/Trout
Fruit,16,Lemons,https://en.wikipedia.org/wiki/Lemons
Fruit,17,Teasel,https://en.wikipedia.org/wiki/Teasel
Fruit,18,Buckthorn,https://en.wikipedia.org/wiki/Buckthorn
Fruit,19,Mexican Marigold,https://en.wikipedia.org/wiki/Tagetes
Fruit,20,the Harvesting basket,https://en.wikipedia.org/wiki/Basket
Fruit,21,Wild Roses,https://en.wikipedia.org/wiki/Rosa_canina
Fruit,22,Hazelnuts,https://en.wikipedia.org/wiki/Hazelnuts
Fruit,23,Hops,https://en.wikipedia.org/wiki/Hops
Fruit,24,Sorghum,https://en.wikipedia.org/wiki/Sorghum
Fruit,25,Crayfish,https://en.wikipedia.org/wiki/Crayfish
Fruit,26,Bitter orange,https://en.wikipedia.org/wiki/Bitter_orange
Fruit,27,Goldenrod,https://en.wikipedia.org/wiki/Goldenrod
Fruit,28,Corn,https://en.wikipedia.org/wiki/Maize
Fruit,29,Sweet Chestnut,https://en.wikipedia.org/wiki/Sweet_Chestnut
Fruit,30,the Pack Basket,https://en.wikipedia.org/wiki/Basket