month_of,day,item,item_url 
Germination,1,Primrose,https://en.wikipedia.org/wiki/Primrose
Germination,2,the Plane tree,https://en.wikipedia.org/wiki/Platanus
Germination,3,Asparagus,https://en.wikipedia.org/wiki/Asparagus
Germination,4,Tulip,https://en.wikipedia.org/wiki/Tulip
Germination,5,Hens,https://en.wikipedia.org/wiki/Chicken
Germination,6,Chard,https://en.wikipedia.org/wiki/Chard
Germination,7,the Birch,https://en.wikipedia.org/wiki/Birch
Germination,8,Daffodils,https://en.wikipedia.org/wiki/Daffodils
Germination,9,Alder,https://en.wikipedia.org/wiki/Alder
Germination,10,the Incubator,https://en.wikipedia.org/wiki/Incubator_(egg)
Germination,11,Periwinkle,https://en.wikipedia.org/wiki/Periwinkle
Germination,12,Hornbeam,https://en.wikipedia.org/wiki/Hornbeam
Germination,13,Morels,https://en.wikipedia.org/wiki/Morels
Germination,14,Beech trees,https://en.wikipedia.org/wiki/Fagus_sylvatica
Germination,15,Bees,https://en.wikipedia.org/wiki/Bees
Germination,16,Lettuce,https://en.wikipedia.org/wiki/Lettuce
Germination,17,the Larch,https://en.wikipedia.org/wiki/Larch
Germination,18,Hemlock,https://en.wikipedia.org/wiki/Hemlock
Germination,19,the Radish,https://en.wikipedia.org/wiki/Radish
Germination,20,the Hive,https://en.wikipedia.org/wiki/Beehive_(beekeeping)
Germination,21,the Judas tree,https://en.wikipedia.org/wiki/Cercis
Germination,22,Romaine lettuce,https://en.wikipedia.org/wiki/Romaine_lettuce
Germination,23,Horse chestnuts,https://en.wikipedia.org/wiki/Aesculus_hippocastanum
Germination,24,Arugula,https://en.wikipedia.org/wiki/Arugula
Germination,25,Pigeons,https://en.wikipedia.org/wiki/Pigeon
Germination,26,Lilac,https://en.wikipedia.org/wiki/Lilac
Germination,27,Anemone,https://en.wikipedia.org/wiki/Anemone
Germination,28,Pansies,https://en.wikipedia.org/wiki/Pansies
Germination,29,Bilberries,https://en.wikipedia.org/wiki/Bilberries
Germination,30,the Grafting knife,https://en.wikipedia.org/wiki/Grafter